corner,vdd,temp,vcont,s0,s1,freq,current
sf,1.8,27.0,1.4,0,1,182500000,0.0001556497222227444313892152696
sf,1.8,27.0,1.3,1,1,257500000,0.0001742612627798305042373940651
ff,1.8,27.0,1.8,0,0,175000000,0.0002083840464206144846378840529
fs,1.8,27.0,1.8,0,1,205000000,0.0002168012999364515887102822429
sf,1.8,27.0,1.8,0,1,190000000,0.0001600865154550886227844303892
ff,1.8,27.0,1.8,0,0,175000000,0.0002116857430044998875028124297
fs,1.8,27.0,1.8,0,1,195000000,0.0002212415105118372040698982525
ff,1.8,27.0,1.4,0,0,165000000,0.0002035862897653558661033474163
ff,1.8,27.0,1.4,0,0,165000000,0.0002054110044940876478088047799
tt,1.8,27.0,1.4,0,1,200000000,0.0001866358118138546536336591585
tt,1.8,27.0,1.8,0,1,207500000,0.0001907273670279243018924526887
tt,1.8,27.0,1.8,0,1,212500000,0.0001896151048559286017849553761
ss,1.8,27.0,1.4,1,0,100000000,0.0001253557393515012124696882578
ss,1.8,27.0,1.4,1,0,100000000,0.0001272568911187870303242418940
ss,1.8,27.0,1.8,1,0,110000000,0.0001369780881879953001174970626
ss,1.8,27.0,1.8,1,0,110000000,0.0001372463535168620784480387990
fs,1.8,27.0,1.4,1,0,122500000,0.0001845758224679133021674458139
fs,1.8,27.0,1.4,1,0,130000000,0.0001833242458677783055423614410
tt,1.8,27.0,1.4,1,0,147500000,0.0001653808651836704082397940051
sf,1.8,27.0,1.4,1,0,140000000,0.0001381059637197820054498637534
sf,1.8,27.0,1.4,0,0,125000000,0.0001354927134226144346391340216
sf,1.8,27.0,1.8,1,0,145000000,0.0001511062062754931126721831954
fs,1.8,27.0,1.8,1,0,135000000,0.0001981827732869678258043548911
sf,1.8,27.0,1.8,1,0,147500000,0.0001488493756584585385365365866
fs,1.8,27.0,1.8,1,0,130000000,0.0001977713938745781355466113347
tt,1.8,27.0,1.4,1,0,145000000,0.0001700630433161670958226044349
ff,1.8,27.0,1.8,0,1,265000000,0.0002385806310376240593985150371
ff,1.8,27.0,1.8,0,1,265000000,0.0002405157178714032149196270093
tt,1.8,27.0,1.8,1,0,152500000,0.0001749954046955326116847078823
ff,1.8,27.0,1.4,0,1,252500000,0.0002293337621529211769705757356
tt,1.8,27.0,1.8,1,0,155000000,0.0001836091154766630834229144271
ff,1.8,27.0,1.4,0,1,257500000,0.0002387395475129121771955701107
ss,1.8,27.0,1.4,1,1,147500000,0.0001451838677366815829604259894
ss,1.8,27.0,1.4,1,1,162500000,0.0001422447632332441688957776056
ss,1.8,27.0,1.8,1,1,167500000,0.0001501715601208469788255293618
ss,1.8,27.0,1.8,1,1,170000000,0.0001504347103700407489812754681
fs,1.8,27.0,1.4,1,1,155000000,0.0001926323055792105197370065748
fs,1.8,27.0,1.4,1,1,170000000,0.0002001283386229344266393340166
sf,1.8,27.0,1.4,1,1,255000000,0.0001770885500872228194295142621
sf,1.8,27.0,1.4,0,1,182500000,0.0001548179506211844703882402940
tt,1.8,27.0,1.4,1,1,250000000,0.0002007153367146571335716607085
sf,1.8,27.0,1.8,1,1,262500000,0.0001807186233502412439689007775
fs,1.8,27.0,1.8,1,1,192500000,0.0002233625785462863428414289643
fs,1.8,27.0,1.8,1,1,210000000,0.0002180060785488862778430539237
sf,1.8,27.0,1.8,1,1,260000000,0.0001805573444550136246593835154
tt,1.8,27.0,1.4,1,1,252500000,0.0001974083603662408439789005275
ff,1.8,27.0,1.8,1,0,200000000,0.0002209673401347966300842478938
ss,1.8,27.0,1.5,0,0,107500000,0.0001325741643776155596110097248
ff,1.8,27.0,1.8,1,0,197500000,0.0002254514505297867553311167221
ff,1.8,27.0,1.4,1,0,187500000,0.0002112622052985175370615734607
tt,1.8,27.0,1.8,1,1,262500000,0.0002137676408892027699307517312
tt,1.8,27.0,1.8,1,1,267500000,0.0002102443445625109372265693358
ff,1.8,27.0,1.4,1,0,187500000,0.0002087504724836629084272893178
ss,1.8,27.0,1.5,0,0,107500000,0.0001268958864121146971325716857
sf,1.8,27.0,1.1,0,0,112500000,0.0001268629563188170295742606435
sf,1.8,27.0,1.1,0,0,110000000,0.0001263467685326366840828979276
fs,1.8,27.0,1.5,0,0,140000000,0.0001912382027309067273318167046
sf,1.8,27.0,1.5,0,0,127500000,0.0001396256470908977275568110797
fs,1.8,27.0,1.5,0,0,140000000,0.0001873889498603784905377365566
sf,1.8,27.0,1.4,1,0,142500000,0.0001461370628015799605009874753
fs,1.8,27.0,1.1,0,0,102500000,0.0001448339355423364415889602760
tt,1.8,27.0,1.5,0,0,137500000,0.0001673373913665158371040723982
fs,1.8,27.0,1.1,0,0,102500000,0.0001413151012681682957926051849
ff,1.8,27.0,1.1,0,0,140000000,0.0001797985715885102872428189295
ff,1.8,27.0,1.1,0,0,140000000,0.0001777905784114647133821654459
tt,1.8,27.0,1.5,0,0,137500000,0.0001701455526861328466788330292
ss,1.8,27.0,1.5,0,1,147500000,0.0001421697145822104447388815280
ss,1.8,27.0,1.1,0,0,85000000.0,0.0001100330607940751481212969676
ss,1.8,27.0,1.1,0,0,85000000.0,0.0001094124170564060898477538062
ss,1.8,27.0,1.5,0,1,147500000,0.0001413365257098072548186295343
ff,1.8,27.0,1.8,1,1,362500000,0.0002721968298405789855253618660
ff,1.8,27.0,1.8,1,1,367500000,0.0002738550705610109747256318592
ff,1.8,27.0,1.4,1,1,342500000,0.0002586166982679933001674958126
ff,1.8,27.0,1.4,1,1,345000000,0.0002656280509298517537061573461
sf,1.8,27.0,1.1,0,1,165000000,0.0001402987625498062548436289093
sf,1.8,27.0,1.1,0,1,165000000,0.0001418866145563110922226944326
fs,1.8,27.0,1.5,0,1,197500000,0.0002065658427476563085922851929
fs,1.8,27.0,1.1,0,1,150000000,0.0001628039657893802654933626659
fs,1.8,27.0,1.5,0,1,200000000,0.0002108600511251218719532011700
fs,1.8,27.0,1.1,0,1,150000000,0.0001629962717958801029974250644
tt,1.8,27.0,1.5,0,1,207500000,0.0001935522180771230719232019200
sf,1.8,27.0,1.4,1,1,250000000,0.0001747393900286742831429214270
ss,1.8,27.0,1.5,1,0,105000000,0.0001281885136802079948001299968
ss,1.8,27.0,1.1,0,1,120000000,0.0001171507883001124971875703107
tt,1.8,27.0,1.5,0,1,202500000,0.0001884991791287467813304667383
ff,1.8,27.0,1.1,0,1,217500000,0.0002069709690892227694307642309
ss,1.8,27.0,1.1,0,1,125000000,0.0001188385396184645383865403365
ff,1.8,27.0,1.1,0,1,217500000,0.0002076413729661508462288442789
ss,1.8,27.0,1.5,1,0,110000000,0.0001317522000693982650433739157
tt,1.8,27.0,1.1,0,0,112500000,0.0001455362533948151296217594560
tt,1.8,27.0,1.1,0,0,112500000,0.0001427635511865203369915752106
sf,1.8,27.0,1.1,1,0,127500000,0.0001342954499934751631209219770
ff,1.8,27.0,1.5,0,0,167500000,0.0002086780585156621084472888178
ff,1.8,27.0,1.5,0,0,167500000,0.0002042211159382015449613759656
sf,1.8,27.0,1.1,1,0,127500000,0.0001315033678272043198920026999
fs,1.8,27.0,1.5,1,0,130000000,0.0001898506874900627484312892178
fs,1.8,27.0,1.1,1,0,97500000.0,0.0001458986804980375490612734682
fs,1.8,27.0,1.1,1,0,95000000.0,0.0001460345904925876853078673033
fs,1.8,27.0,1.5,1,0,125000000,0.0001827411673630659233519162021
sf,1.8,27.0,1.5,0,0,127500000,0.0001400019213987400314992125197
tt,1.8,27.0,1.5,1,0,152500000,0.0001728929570901727456813579661
ss,1.8,27.0,1.1,1,0,87500000.0,0.0001142674217072623184420389490
ss,1.8,27.0,1.5,1,1,167500000,0.0001445331880237494062648433789
ss,1.8,27.0,1.1,1,0,90000000.0,0.0001111580076101822454438639034
